date,station,precip_mm
2024-04-01,GHCND:US1PAAD0002,0.71
2024-04-01,GHCND:US1PAAD0006,0.22999999999999998
2024-04-01,GHCND:US1PAAD0008,0.79
2024-04-01,GHCND:US1PAAD0011,0.74
2024-04-01,GHCND:US1PAAD0012,1.04
2024-04-01,GHCND:US1PAAD0021,1.09
2024-04-01,GHCND:US1PAAD0024,0.64
2024-04-01,GHCND:US1PAAD0026,0.64
2024-04-01,GHCND:US1PAAD0030,1.9600000000000002
2024-04-01,GHCND:US1PAAD0031,0.41
2024-04-01,GHCND:US1PAAD0043,0.2
2024-04-01,GHCND:US1PAAD0045,0.61
2024-04-01,GHCND:US1PAAD0060,1.9300000000000002
2024-04-01,GHCND:US1PAAD0071,0.58
2024-04-01,GHCND:US1PAAD0074,0.9099999999999999
2024-04-01,GHCND:US1PAAD0075,0.5599999999999999
2024-04-01,GHCND:US1PAAD0076,0.6900000000000001
2024-04-01,GHCND:US1PAAD0081,0.43
2024-04-01,GHCND:US1PAAD0082,1.02
2024-04-01,GHCND:US1PAAL0001,1.5
2024-04-01,GHCND:US1PAAL0003,1.6
2024-04-01,GHCND:US1PAAL0043,2.0100000000000002
2024-04-01,GHCND:US1PAAL0064,0.61
2024-04-01,GHCND:US1PAAL0069,0.58
2024-04-01,GHCND:US1PAAL0070,1.3199999999999998
2024-04-01,GHCND:US1PAAL0074,1.02
2024-04-01,GHCND:US1PAAL0092,1.09
2024-04-01,GHCND:US1PAAL0108,1.1400000000000001
2024-04-01,GHCND:US1PAAL0110,1.19
2024-04-01,GHCND:US1PAAL0130,1.3199999999999998
2024-04-01,GHCND:US1PAAL0137,1.4
2024-04-01,GHCND:US1PAAL0139,1.17
2024-04-01,GHCND:US1PAAL0145,0.99
2024-04-01,GHCND:US1PAAL0148,0.61
2024-04-01,GHCND:US1PAAL0149,1.17
2024-04-01,GHCND:US1PAAL0150,0.25
2024-04-01,GHCND:US1PAAL0155,1.65
2024-04-01,GHCND:US1PAAL0158,0.9400000000000001
2024-04-01,GHCND:US1PAAL0161,1.35
2024-04-01,GHCND:US1PAAL0168,1.35
2024-04-01,GHCND:US1PAAR0007,0.76
2024-04-01,GHCND:US1PAAR0008,0.89
2024-04-01,GHCND:US1PAAR0012,0.71
2024-04-01,GHCND:US1PAAR0021,1.4
2024-04-01,GHCND:US1PABD0005,0.8400000000000001
2024-04-01,GHCND:US1PABD0006,1.0699999999999998
2024-04-01,GHCND:US1PABF0020,0.0
2024-04-01,GHCND:US1PABK0005,0.05
2024-04-01,GHCND:US1PABK0015,0.86
2024-04-01,GHCND:US1PABK0018,0.0
2024-04-01,GHCND:US1PABK0026,0.2
2024-04-01,GHCND:US1PABK0033,0.0
2024-04-01,GHCND:US1PABK0035,0.0
2024-04-01,GHCND:US1PABK0037,1.24
2024-04-01,GHCND:US1PABK0039,0.22999999999999998
2024-04-01,GHCND:US1PABK0044,0.0
2024-04-01,GHCND:US1PABK0052,0.0
2024-04-01,GHCND:US1PABK0055,0.0
2024-04-01,GHCND:US1PABK0058,0.05
2024-04-01,GHCND:US1PABK0063,0.0
2024-04-01,GHCND:US1PABK0073,0.3
2024-04-01,GHCND:US1PABK0076,0.0
2024-04-01,GHCND:US1PABR0002,0.25
2024-04-01,GHCND:US1PABR0005,0.1
2024-04-01,GHCND:US1PABR0007,0.05
2024-04-01,GHCND:US1PABR0008,0.25
2024-04-01,GHCND:US1PABR0016,0.38
2024-04-01,GHCND:US1PABR0021,0.03
2024-04-01,GHCND:US1PABR0025,0.08
2024-04-01,GHCND:US1PABR0028,0.38
2024-04-01,GHCND:US1PABR0029,0.3
2024-04-01,GHCND:US1PABR0031,0.03
2024-04-01,GHCND:US1PABR0033,1.35
2024-04-01,GHCND:US1PABR0035,0.38
2024-04-01,GHCND:US1PABR0036,0.25
2024-04-01,GHCND:US1PABR0037,0.25
2024-04-01,GHCND:US1PABR0038,0.05
2024-04-01,GHCND:US1PABR0041,0.03
2024-04-01,GHCND:US1PABR0045,0.3
2024-04-01,GHCND:US1PABR0047,0.8099999999999999
2024-04-01,GHCND:US1PABR0049,0.1
2024-04-01,GHCND:US1PABR0050,0.0
2024-04-01,GHCND:US1PABR0052,0.08
2024-04-01,GHCND:US1PABR0053,0.48
2024-04-01,GHCND:US1PABR0054,0.18
2024-04-01,GHCND:US1PABT0006,1.02
2024-04-01,GHCND:US1PABT0015,0.58
2024-04-01,GHCND:US1PABT0024,1.27
2024-04-01,GHCND:US1PABT0039,0.64
2024-04-01,GHCND:US1PABT0040,1.1400000000000001
2024-04-01,GHCND:US1PABT0042,0.9400000000000001
2024-04-01,GHCND:US1PABT0051,1.0699999999999998
2024-04-01,GHCND:US1PABT0053,1.17
2024-04-01,GHCND:US1PABT0059,1.42
2024-04-01,GHCND:US1PABT0062,0.9099999999999999
2024-04-01,GHCND:US1PABV0018,0.76
2024-04-01,GHCND:US1PABV0026,0.61
2024-04-01,GHCND:US1PACB0004,0.0
2024-04-01,GHCND:US1PACB0012,0.58
2024-04-01,GHCND:US1PACB0016,0.0
2024-04-01,GHCND:US1PACB0018,0.0
2024-04-01,GHCND:US1PACB0033,0.0
2024-04-01,GHCND:US1PACD0011,1.3
2024-04-01,GHCND:US1PACD0019,0.8400000000000001
2024-04-01,GHCND:US1PACD0021,0.58
2024-04-01,GHCND:US1PACD0024,0.41
2024-04-01,GHCND:US1PACF0003,0.48
2024-04-01,GHCND:US1PACF0004,0.74
2024-04-01,GHCND:US1PACF0005,0.41
2024-04-01,GHCND:US1PACH0009,0.13
2024-04-01,GHCND:US1PACH0011,0.05
2024-04-01,GHCND:US1PACH0014,0.25
2024-04-01,GHCND:US1PACH0021,0.05
2024-04-01,GHCND:US1PACH0027,0.15
2024-04-01,GHCND:US1PACH0028,0.1
2024-04-01,GHCND:US1PACH0035,0.43
2024-04-01,GHCND:US1PACH0038,0.0
2024-04-01,GHCND:US1PACH0041,0.38
2024-04-01,GHCND:US1PACH0048,0.0
2024-04-01,GHCND:US1PACH0049,0.51
2024-04-01,GHCND:US1PACH0061,0.03
2024-04-01,GHCND:US1PACH0062,0.79
2024-04-01,GHCND:US1PACH0063,0.05
2024-04-01,GHCND:US1PACH0064,0.1
2024-04-01,GHCND:US1PACH0065,0.71
2024-04-01,GHCND:US1PACH0066,0.13
2024-04-01,GHCND:US1PACL0015,0.43
2024-04-01,GHCND:US1PACL0017,0.32999999999999996
2024-04-01,GHCND:US1PACM0009,1.3699999999999999
2024-04-01,GHCND:US1PACM0011,1.19
2024-04-01,GHCND:US1PACN0003,1.19
2024-04-01,GHCND:US1PACN0005,0.89
2024-04-01,GHCND:US1PACN0010,0.51
2024-04-01,GHCND:US1PACN0018,0.6599999999999999
2024-04-01,GHCND:US1PACN0028,1.0699999999999998
2024-04-01,GHCND:US1PACN0034,0.36
2024-04-01,GHCND:US1PACN0037,1.27
2024-04-01,GHCND:US1PACN0039,0.6599999999999999
2024-04-01,GHCND:US1PACN0042,0.41
2024-04-01,GHCND:US1PACW0002,0.13
2024-04-01,GHCND:US1PADL0015,0.0
2024-04-01,GHCND:US1PADL0024,0.0
2024-04-01,GHCND:US1PADL0025,0.05
2024-04-01,GHCND:US1PADP0014,0.97
2024-04-01,GHCND:US1PADP0032,1.09
2024-04-01,GHCND:US1PADP0033,0.8099999999999999
2024-04-01,GHCND:US1PADP0035,1.02
2024-04-01,GHCND:US1PADP0038,0.99
2024-04-01,GHCND:US1PADP0039,0.36
2024-04-01,GHCND:US1PADP0041,0.53
2024-04-01,GHCND:US1PADP0043,0.97
2024-04-01,GHCND:US1PAER0005,0.05
2024-04-01,GHCND:US1PAER0018,0.0
2024-04-01,GHCND:US1PAER0022,0.1
2024-04-01,GHCND:US1PAFR0001,0.53
2024-04-01,GHCND:US1PAFR0002,0.43
2024-04-01,GHCND:US1PAFY0009,3.35
2024-04-01,GHCND:US1PAFY0016,2.67
2024-04-01,GHCND:US1PAFY0018,1.78
2024-04-01,GHCND:US1PAFY0030,2.3899999999999997
2024-04-01,GHCND:US1PAGR0014,2.41
2024-04-01,GHCND:US1PAHN0002,1.52
2024-04-01,GHCND:US1PAHN0003,1.24
2024-04-01,GHCND:US1PAHN0006,0.99
2024-04-01,GHCND:US1PAIN0009,0.8099999999999999
2024-04-01,GHCND:US1PAIN0018,0.97
2024-04-01,GHCND:US1PAJF0013,0.0
2024-04-01,GHCND:US1PAJF0014,0.61
2024-04-01,GHCND:US1PALB0017,0.08
2024-04-01,GHCND:US1PALB0019,0.6900000000000001
2024-04-01,GHCND:US1PALB0020,0.38
2024-04-01,GHCND:US1PALB0021,0.05
2024-04-01,GHCND:US1PALB0022,0.03
2024-04-01,GHCND:US1PALB0025,0.51
2024-04-01,GHCND:US1PALC0024,0.0
2024-04-01,GHCND:US1PALC0027,0.0
2024-04-01,GHCND:US1PALC0028,0.08
2024-04-01,GHCND:US1PALH0001,0.0
2024-04-01,GHCND:US1PALH0005,0.0
2024-04-01,GHCND:US1PALH0017,0.0
2024-04-01,GHCND:US1PALH0019,0.0
2024-04-01,GHCND:US1PALH0021,0.0
2024-04-01,GHCND:US1PALH0036,0.0
2024-04-01,GHCND:US1PALN0007,0.22999999999999998
2024-04-01,GHCND:US1PALN0013,0.8400000000000001
2024-04-01,GHCND:US1PALN0019,0.18
2024-04-01,GHCND:US1PALN0022,0.6599999999999999
2024-04-01,GHCND:US1PALN0023,0.08
2024-04-01,GHCND:US1PALN0025,0.6900000000000001
2024-04-01,GHCND:US1PALN0026,0.2
2024-04-01,GHCND:US1PALN0028,0.25
2024-04-01,GHCND:US1PALN0032,0.08
2024-04-01,GHCND:US1PALN0034,0.8099999999999999
2024-04-01,GHCND:US1PALN0038,0.1
2024-04-01,GHCND:US1PALW0010,1.04
